10760.22, 1019.73, 23.49,26,254,20,-77,-37,-10,-35,-524,287
13480.10, 1019.71, 23.51,28,253,18,-72,5,-9,-36,-516,272
14430.23, 1019.74, 23.52,22,255,36,-87,-111,-14,-23,-488,288
1539-0.01, 1019.78, 23.52,28,253,24,-61,85,-10,-16,-473,294
1635-0.22, 1019.75, 23.52,28,256,20,-83,-58,-15,-9,-463,292
1730-0.45, 1019.72, 23.54,24,253,16,-73,-13,-6,-11,-462,293
18250.21, 1019.73, 23.55,28,254,18,-80,-38,-7,-7,-463,293
19220.04, 1019.72, 23.56,26,254,19,-76,0,-15,-5,-464,292
2017-0.39, 1019.75, 23.58,26,254,19,-81,-79,-11,-6,-462,290
2163-0.12, 1019.76, 23.56,27,253,14,-77,-9,-10,-5,-463,293
2259-0.50, 1019.68, 23.55,28,253,18,-77,-49,-12,-7,-463,291
23550.04, 1019.71, 23.57,25,254,19,-78,-36,-12,-12,-463,292
2451-0.53, 1019.78, 23.57,27,254,19,-75,-11,-9,-8,-462,289
2546-0.68, 1019.75, 23.57,28,253,20,-77,-11,-14,-8,-464,295
2642-1.22, 1019.83, 23.57,25,254,17,-80,-86,-12,-8,-463,293
2738-0.59, 1019.79, 23.58,26,253,19,-72,34,-10,-9,-465,291
2833-0.32, 1019.78, 23.58,28,253,20,-79,-47,-10,-9,-462,289
29730.04, 1019.77, 23.57,26,253,17,-76,-6,-11,-10,-464,293
3069-0.41, 1019.80, 23.58,26,254,18,-74,-5,-10,-4,-462,294
3165-0.56, 1019.77, 23.57,26,255,22,-80,-74,-13,-6,-463,290
3261-0.55, 1019.72, 23.58,26,254,19,-74,11,-11,-8,-464,293
3356-0.64, 1019.74, 23.59,28,251,19,-79,-47,-10,-5,-466,294
3451-0.85, 1019.78, 23.59,27,254,19,-79,-59,-12,-9,-465,292
3548-0.80, 1019.83, 23.60,28,254,16,-77,-1,-9,-9,-464,289
3643-0.49, 1019.79, 23.60,28,254,19,-77,-29,-12,-8,-463,293
3739-0.64, 1019.79, 23.60,26,253,18,-79,-65,-11,-10,-466,292
3888-0.71, 1019.81, 23.58,27,254,18,-77,-28,-11,-8,-464,292
3984-0.86, 1019.78, 23.58,27,253,18,-77,-31,-10,-6,-466,292
4079-0.89, 1019.76, 23.58,26,253,20,-77,-28,-12,-9,-465,291
4174-1.04, 1019.79, 23.60,26,255,19,-77,-27,-10,-10,-465,291
4271-0.37, 1019.73, 23.58,26,253,20,-78,-32,-13,-9,-465,290
4366-0.47, 1019.78, 23.58,26,254,18,-77,-18,-10,-7,-466,292
4461-0.58, 1019.80, 23.60,27,254,19,-78,-39,-12,-8,-464,293
4557-0.16, 1019.74, 23.58,26,255,19,-77,-25,-10,-11,-465,292
4658-0.49, 1019.77, 23.59,26,254,18,-78,-37,-11,-9,-467,291
4753-0.37, 1019.76, 23.60,27,253,18,-80,-18,-11,-11,-466,295
4849-0.58, 1019.74, 23.60,26,253,19,-79,-52,-10,-7,-464,293
4974-0.70, 1019.82, 23.60,28,253,21,-73,-2,-12,-11,-464,293
5069-0.58, 1019.72, 23.60,26,254,20,-75,-36,-8,-8,-464,289
5165-0.46, 1019.73, 23.59,26,254,27,-81,-15,-12,-9,-465,293
5260-0.76, 1019.76, 23.60,27,254,19,-78,-22,-10,-6,-463,291
5356-0.88, 1019.81, 23.61,26,253,20,-79,-60,-12,-7,-464,290
5451-0.73, 1019.81, 23.61,27,253,20,-72,-11,-10,-8,-465,293
5566-0.40, 1019.80, 23.60,27,253,19,-81,-39,-11,-9,-464,291
5661-0.97, 1019.81, 23.60,26,253,20,-75,-23,-12,-10,-464,293
5773-0.64, 1019.79, 23.60,26,253,16,-82,-51,-10,-8,-464,289
5868-0.31, 1019.77, 23.60,23,254,20,-81,-25,-11,-11,-464,291
5979-0.19, 1019.76, 23.60,27,254,18,-78,-27,-8,-10,-463,292
6074-0.45, 1019.74, 23.60,26,253,18,-71,-25,-10,-11,-465,291
6169-0.39, 1019.79, 23.61,26,256,26,-80,-45,-12,-11,-464,291
6264-0.06, 1019.71, 23.60,28,252,19,-76,10,-9,-8,-463,292
6365-0.03, 1019.71, 23.62,27,253,20,-87,-61,-13,-9,-463,291
